Rank,ID,Movie Title,Studio,Total Gross,Theaters,Opening,Opening Theaters,Open,Close
170,1,1991,EOne,"$2,342,264 ",83,"$328,828 ",83,27-Jul,
348,2,'85: The Greatest Team in Football History,Fathom,"$115,463 ",199,,,29-Jan,29-Jan
191,3,102 Not Out,Sony,"$1,343,797 ",102,"$483,681 ",102,4-May,7-Jun
648,4,10x10,VE,"$2,263 ",10,,10,13-Apr,
609,5,12 Days,Distrib.,"$5,204 ",2,$923 ,1,16-Mar,14-Jul
55,6,12 Strong,Warner Brothers,"$45,500,164 ","3,018","$15,815,025 ","3,002",19-Jan,29-Mar
194,7,2001: A Space Odyssey (2018 re-release),Warner Brothers,"$1,283,820 ",13,"$202,759 ",4,18-May,15-Jul
471,8,24 Frames,Jan.,"$34,482 ",2,"$8,101 ",1,2-Feb,22-Mar
530,9,306 Hollywood,El Tigre,"$18,399 ",4,"$8,150 ",1,28-Sep,
418,10,3100: Run and Become,Illumine,"$65,524 ",7,,,17-Aug,
157,11,7 Days in Entebbe,Focus,"$3,326,885 ",838,"$1,592,645 ",838,16-Mar,12-Apr
398,12,93Queen,Abr.,"$76,056 ",3,"$6,302 ",1,25-Jul,11-Oct
354,13,A Boy. A Girl. A Dream.,Gold.,"$112,552 ",61,"$67,760 ",61,14-Sep,23-Sep
535,14,A Bread Factory,ITF,"$17,325 ",2,"$5,847 ",2,26-Oct,
480,15,A Ciambra,IFC,"$30,988 ",6,"$6,330 ",1,19-Jan,15-Feb
338,16,A Cool Fish,CL,"$141,872 ",17,"$71,187 ",15,16-Nov,
175,17,A Fantastic Woman,SPC,"$2,020,988 ",190,"$64,241 ",5,2-Feb,20-May
443,18,A Kid Like Jake,IFC,"$44,824 ",13,"$8,936 ",1,1-Jun,8-Jul
518,19,A Paris Education,KL,"$20,069 ",2,"$3,467 ",1,30-Aug,
195,20,A Private War,Aviron,"$1,267,868 ",865,"$60,491 ",4,2-Nov,
11,21,A Quiet Place,Paramount,"$188,024,361 ","3,808","$50,203,562 ","3,508",6-Apr,2-Aug
43,22,A Simple Favor,Lionsgate Films,"$53,542,417 ","3,102","$16,011,689 ","3,102",14-Sep,
10,23,A Star is Born (2018),Warner Brothers,"$189,145,173 ","3,904","$42,908,051 ","3,686",5-Oct,
602,24,A Whale of a Tale,FLM,"$6,747 ",1,,,17-Aug,
24,25,A Wrinkle in Time,Buena Vista,"$100,478,608 ","3,980","$33,123,609 ","3,980",9-Mar,5-Jul
125,26,A.X.L.,Global Road,"$6,501,381 ","1,710","$2,798,229 ","1,710",24-Aug,18-Oct
644,27,ACORN and the Firestorm,FRun,"$2,621 ",1,"$2,621 ",1,6-Apr,
137,28,Action Point,Paramount,"$5,059,608 ","2,032","$2,390,164 ","2,032",1-Jun,14-Jun
522,29,Active Measures,Super,"$19,862 ",2,"$9,509 ",2,31-Aug,9-Sep
75,30,Adrift,STX,"$31,445,012 ","3,015","$11,603,039 ","3,015",1-Jun,2-Aug
403,31,After Auschwitz,Passion Rive,"$73,885 ",13,,,14-Apr,31-May
306,32,Agent Mr. Chan,CL,"$208,351 ",10,"$62,234 ",10,23-Feb,1-Apr
370,33,All About Nina,Orch.,"$100,335 ",54,"$26,468 ",4,28-Sep,
201,34,Along with the Gods: The Last 49 Days,WGUSA,"$1,200,246 ",48,"$311,743 ",48,1-Aug,20-Sep
68,35,Alpha,Studio 8,"$35,851,379 ","2,881","$10,352,512 ","2,719",17-Aug,
659,36,Altered Perception,Cdgm.,"$1,259 ",10,,,4-May,
325,37,Always at the Carlyle,Good Deed,"$174,251 ",23,"$9,239 ",1,11-May,15-Jul
162,38,American Animals,Orch.,"$2,856,954 ",339,"$134,793 ",4,1-Jun,30-Aug
555,39,American Chaos,SPC,"$12,368 ",26,"$7,616 ",26,14-Sep,20-Sep
627,40,American Dresser,Cdgm.,"$3,895 ",11,"$2,211 ",11,21-Sep,4-Oct
553,41,American Socialist: The Life & Times of Eugene Victor Debs,FRun,"$12,609 ",3,"$2,823 ",1,2-Mar,10-May
654,42,An Actor Prepares,Grav.,"$1,743 ",25,$933 ,25,31-Aug,6-Sep
603,43,An Evening with Beverly Luff Linn,TFA,"$6,701 ",16,"$5,212 ",16,19-Oct,
198,44,An Interview with God,Fathom,"$1,251,044 ",919,,,20-Aug,
614,45,An L.A. Minute,Strand,"$5,004 ",3,"$2,791 ",3,24-Aug,30-Aug
203,46,Andhadhun,Eros,"$1,193,046 ",62,"$278,677 ",56,5-Oct,
369,47,Andrei Rublev (re-release),Jan.,"$100,598 ",4,"$12,807 ",2,24-Aug,
282,48,Andy Irons: Kissed by God,Fathom,"$292,868 ",466,,,25-May,
73,49,Annihilation,Paramount,"$32,732,301 ","2,112","$11,071,584 ","2,012",23-Feb,19-Apr
7,50,Ant-Man and the Wasp,Buena Vista,"$216,648,740 ","4,206","$75,812,205 ","4,206",6-Jul,1-Nov
448,51,Antonio Lopez 1970: Sex Fashion & Disco,FM,"$43,169 ",5,"$7,167 ",1,14-Sep,
526,52,Anything,Pala.,"$19,037 ",27,"$4,110 ",3,11-May,7-Jun
519,53,Apocalypsis,Indic.,"$20,052 ",2,"$3,945 ",1,2-Mar,21-Jun
456,54,Araby,Ghop,"$38,399 ",7,"$8,668 ",1,22-Jun,
606,55,Are We Not Cats,Cleopatra,"$5,518 ",2,"$3,983 ",2,23-Feb,1-Mar
626,56,Armed,GVN,"$3,948 ",10,"$2,227 ",10,14-Sep,20-Sep
177,57,Assassination Nation,Neon,"$2,005,142 ","1,403","$1,050,021 ","1,403",21-Sep,21-Oct
290,58,At Eternity's Gate,CBS,"$261,493 ",30,"$92,856 ",4,16-Nov,
638,59,At First Light,EOne,"$3,292 ",5,$274 ,5,28-Sep,
270,60,Attack on Titan Season 3,FUN,"$377,334 ",173,,,10-Jul,
512,61,Ava,Ghop,"$20,940 ",3,"$2,996 ",1,27-Apr,
2,62,Avengers: Infinity War,Buena Vista,"$678,815,482 ","4,474","$257,698,183 ","4,474",27-Apr,13-Sep
192,63,Baaghi 2,FIP,"$1,319,579 ",123,"$650,722 ",123,30-Mar,19-Apr
293,64,Back to Burgundy,MBox,"$257,610 ",18,"$15,157 ",5,23-Mar,21-Jun
335,65,Bad Reputation,Magn.,"$148,568 ",196,"$130,675 ",196,28-Sep,18-Oct
156,66,Bad Samaritan,Electric,"$3,435,047 ","2,007","$1,726,868 ","2,007",4-May,24-May
93,67,Bad Times At The El Royale,Fox,"$17,784,774 ","2,808","$7,132,647 ","2,808",12-Oct,
261,68,Bag of Marbles,Gaum.,"$411,318 ",16,"$14,420 ",4,23-Mar,26-Jul
216,69,Bandstand: The Broadway Musical,Fathom,"$855,333 ",625,,,25-Jun,28-Jun
377,70,Bandstand: The Broadway Musical (2018),Fathom,"$91,000 ",361,,,15-Nov,
322,71,Batman: Mask of the Phantasm (25th Anniversary),Fathom,"$178,133 ",761,,,12-Nov,
295,72,Batti Gul Meter Chalu,Eros,"$249,539 ",64,"$153,847 ",64,21-Sep,
220,73,Beast,RAtt.,"$800,365 ",93,"$53,248 ",4,11-May,5-Jul
124,74,Beautiful Boy (2018),Amazon,"$6,669,149 ",776,"$218,888 ",4,12-Oct,
200,75,Beautifully Broken,AAE,"$1,208,925 ",651,"$589,155 ",651,24-Aug,
656,76,Beauty and the Beholder,R1,"$1,368 ",1,"$1,352 ",1,26-Oct,
586,77,Beauty and the Dogs,Osci.,"$8,915 ",4,"$3,055 ",2,23-Mar,17-Jun
434,78,Before We Vanish,Super,"$52,087 ",42,"$8,370 ",2,2-Feb,15-Mar
138,79,Beirut,BST,"$5,019,226 ",755,"$1,734,497 ",755,11-Apr,14-Jun
392,80,Bel Canto,Scre.,"$80,134 ",30,"$12,421 ",2,14-Sep,18-Oct
273,81,Believer,WGUSA,"$365,639 ",32,"$146,630 ",32,8-Jun,8-Jul
491,82,Belle de jour (2018 re-release),Jan.,"$26,331 ",3,"$6,462 ",1,23-Mar,19-Apr
419,83,Beuys,KL,"$65,410 ",6,"$9,084 ",2,17-Jan,31-May
165,84,Bharat Ane Nenu,GrtIndia,"$2,663,090 ",305,"$2,663,090 ",305,20-Apr,
430,85,Bhavesh Joshi Superhero,Eros,"$57,376 ",46,"$42,579 ",46,1-Jun,
385,86,Big Brother,WGUSA,"$85,624 ",25,"$41,225 ",25,31-Aug,20-Sep
440,87,Bigger,Free,"$46,382 ",61,"$31,477 ",61,12-Oct,25-Oct
252,88,Bilal: A New Breed of Hero,VE,"$490,973 ",300,"$309,951 ",300,2-Feb,1-Mar
658,89,Billionaire Boy's Club,VE,"$1,349 ",,,,17-Aug,
355,90,Bisbee '17,4th Row,"$112,490 ",14,"$6,650 ",1,5-Sep,
437,91,Black '47,IFC,"$50,026 ",100,"$8,600 ",1,28-Sep,
1,92,Black Panther,Buena Vista,"$700,059,566 ","4,084","$202,003,951 ","4,020",16-Feb,9-Aug
50,93,BlacKkKlansman,Focus,"$48,271,960 ","1,914","$10,845,330 ","1,512",10-Aug,11-Oct
232,94,Blaze (2018),IFC,"$696,793 ",88,"$44,050 ",3,17-Aug,
143,95,Blindspotting,Lionsgate Summit,"$4,333,394 ",523,"$338,999 ",14,20-Jul,13-Sep
38,96,Blockers,Universal,"$60,147,900 ","3,418","$20,556,350 ","3,379",6-Apr,2-Aug
587,97,Blood Feast,Hann.,"$8,708 ",3,"$4,046 ",1,6-Apr,3-May
537,98,Bob Le Flambeur (2017 re-release),Rialto,"$15,586 ",2,"$4,623 ",1,5-Jan,29-Mar
351,99,Bodied,Neon,"$113,956 ",17,"$53,000 ",14,2-Nov,
16,100,Bohemian Rhapsody,Fox,"$143,379,253 ","4,000","$51,061,119 ","4,000",2-Nov,
327,101,Bolshoi Ballet: La Sylphide (2018),Fathom,"$171,177 ",355,"$168,718 ",355,11-Nov,
425,102,Bomb City,Grav.,"$59,329 ",17,"$31,005 ",17,9-Feb,8-Apr
34,103,Book Club,Paramount,"$68,566,296 ","3,169","$13,582,231 ","2,781",18-May,9-Aug
330,104,Boom for Real: The Late Teenage Years of Jean-Michel Basquiat,Magn.,"$166,616 ",14,"$22,717 ",2,11-May,26-Jul
269,105,Border,Neon,"$380,960 ",36,"$73,700 ",7,26-Oct,
299,106,Borg vs. McEnroe,Neon,"$231,346 ",51,"$52,625 ",51,13-Apr,17-May
231,107,Boundaries,SPC,"$703,438 ",224,"$29,552 ",5,22-Jun,6-Sep
147,108,Boy Erased,Focus,"$3,796,637 ",672,"$207,057 ",5,2-Nov,
53,109,Breaking In (2018),Universal,"$46,535,850 ","2,537","$17,630,285 ","2,537",11-May,2-Aug
463,110,Breath,FR,"$37,108 ",21,"$5,258 ",1,1-Jun,5-Jul
567,111,Bullitt County,Mr. Pictures,"$11,257 ",9,"$6,511 ",9,26-Oct,
150,112,Burn the Stage: The Movie,Trafalgar,"$3,636,203 ",635,"$2,412,498 ",629,15-Nov,
277,113,Burning,WGUSA,"$331,387 ",27,"$26,130 ",2,26-Oct,
285,114,But Deliver Us from Evil,Indic.,"$285,169 ",247,"$99,541 ",247,9-Feb,17-May
321,115,Buybust,WGUSA,"$178,471 ",25,"$77,955 ",25,10-Aug,6-Sep
406,116,Bye Bye Germany,FM,"$72,365 ",6,"$4,874 ",2,13-Apr,
650,117,Cage Fighter,IFC,"$2,027 ",2,"$1,204 ",2,2-Feb,8-Feb
601,118,Calling All Earthlings,Carpe Stella,"$6,756 ",1,,,29-Jun,
135,119,Can You Ever Forgive Me?,FoxS,"$5,648,746 ",555,"$161,510 ",5,19-Oct,
229,120,Canelo vs. GGG 2,Fathom,"$707,875 ",533,"$707,875 ",533,15-Sep,
372,121,Champion (2018),WGUSA,"$97,472 ",29,"$17,095 ",2,11-May,7-Jun
97,122,Chappaquiddick,ENTMP,"$17,395,520 ","1,645","$5,765,854 ","1,560",6-Apr,1-Aug
485,123,Charm City,PBS,"$28,971 ",3,"$10,511 ",1,12-Oct,
543,124,Chasing the Blues,Ammo,"$14,030 ",9,"$9,949 ",9,5-Oct,14-Oct
457,125,Chef Flynn,KL,"$38,385 ",3,"$7,509 ",1,9-Nov,
534,126,Chronicle of Anna Magdalena Bach,Ghop,"$17,527 ",2,"$3,453 ",2,2-Mar,5-Jul
260,127,Cirque du Soleil: KURIOS - Cabinet Of Curiosities,Fathom,"$413,039 ",522,,,13-Nov,
389,128,Claire's Camera,CGld,"$83,418 ",5,"$11,489 ",1,9-Mar,22-Jul
571,129,Class Rank,Cdgm.,"$10,452 ",14,,,11-May,
629,130,Cocote,Ghop,"$3,815 ",2,"$1,436 ",1,3-Aug,
482,131,Cold Water (2018 re-release),Jan.,"$30,209 ",1,"$5,110 ",1,27-Apr,21-Jun
136,132,Colette,BST,"$5,102,142 ",593,"$161,179 ",4,21-Sep,
258,133,Condorito: La Pelicula,Lionsgate Films,"$447,719 ",153,"$248,456 ",153,12-Jan,1-Feb
12,134,Crazy Rich Asians,Warner Brothers,"$173,765,895 ","3,865","$26,510,140 ","3,384",15-Aug,
70,135,Creed II,MGM,"$34,642,000 ","3,441",,"3,441",21-Nov,
539,136,Crime + Punishment,IFC,"$15,426 ",3,"$8,787 ",3,24-Aug,5-Sep
607,137,Cuban Food Stories,FRun,"$5,434 ",1,"$3,032 ",1,10-Aug,
387,138,Custody,KL,"$83,882 ",7,"$4,947 ",1,29-Jun,25-Oct
427,139,Cynthia,Indic.,"$58,177 ",21,"$30,660 ",21,31-Aug,18-Oct
281,140,Damsel,Magn.,"$305,136 ",42,"$20,291 ",3,22-Jun,23-Aug
303,141,Dark Money,PBS,"$217,932 ",20,"$8,100 ",1,13-Jul,
592,142,Dark River,FR,"$7,714 ",2,"$4,246 ",2,29-Jun,5-Jul
5,143,Deadpool 2,Fox,"$318,491,426 ","4,349","$125,507,153 ","4,349",18-May,18-Oct
500,144,Death House,Hann.,"$23,833 ",7,"$10,140 ",1,2-Mar,17-May
131,145,Death of a Nation,QF,"$5,885,881 ","1,005","$2,356,522 ","1,005",3-Aug,
71,146,Death Wish (2018),MGM,"$34,017,028 ","2,882","$13,010,267 ","2,847",2-Mar,31-May
56,147,Den of Thieves,STX,"$44,947,622 ","2,432","$15,206,108 ","2,432",19-Jan,22-Mar
528,148,Desolation,PDF,"$18,490 ",3,"$11,320 ",2,26-Jan,11-Mar
179,149,Detective Chinatown 2,Warner Brothers,"$1,983,984 ",115,"$704,047 ",115,16-Feb,5-Apr
289,150,Detective Dee: The Four Heavenly Kings,WGUSA,"$262,963 ",31,"$126,929 ",31,27-Jul,16-Aug
364,151,Detective K: Secret of the Living Dead,WGUSA,"$104,013 ",9,"$30,288 ",9,16-Feb,15-Mar
513,152,Did You Wonder Who Fired the Gun?,Ghop,"$20,765 ",3,"$5,725 ",3,28-Feb,
28,153,Disney's Christopher Robin,Buena Vista,"$99,197,554 ","3,602","$24,585,139 ","3,602",3-Aug,
152,154,Disobedience,BST,"$3,498,782 ",247,"$237,393 ",5,27-Apr,2-Aug
608,155,"Distant Voices, Still Lives (2018 reissue)",Arrow,"$5,234 ",1,"$2,395 ",1,31-Aug,9-Sep
432,156,Django,UTMW,"$56,556 ",7,"$11,722 ",4,5-Jan,22-Feb
122,157,Dog Days (2018),LD,"$6,809,080 ","2,442","$2,554,766 ","2,442",8-Aug,27-Sep
188,158,Don't Worry He Won't Get Far on Foot,Amazon,"$1,441,705 ",266,"$83,339 ",4,13-Jul,13-Sep
329,159,Double Lover,Cohen,"$167,581 ",51,"$62,995 ",50,14-Feb,19-Apr
14,160,Dr. Seuss' The Grinch (2018),Universal,"$161,831,250 ","4,141","$67,572,855 ","4,141",9-Nov,
236,161,Dragon Ball Z: Broly,Fathom,"$658,982 ",681,"$357,322 ",681,15-Sep,
244,162,Dragon Ball Z: Saiyan Double Feature,Fathom,"$540,707 ",691,"$288,095 ",691,3-Nov,
600,163,Duckbutter,Orch.,"$6,877 ",2,"$2,797 ",2,27-Apr,17-May
116,164,Early Man,Lionsgate Films,"$8,267,544 ","2,494","$3,190,525 ","2,494",16-Feb,29-Mar
342,165,Eating Animals,IFC,"$128,503 ",25,"$34,524 ",2,15-Jun,24-Jul
615,166,Edward II (2018 re-release),FM,"$4,826 ",1,"$1,701 ",1,4-May,17-May
520,167,Eight Hours Don't Make a Day (2018 re-release),Jan.,"$19,987 ",1,"$5,880 ",1,16-Mar,1-Apr
